"Paratransit, Inc.",ITP_ID,NTD ID,Legacy NTD ID,Kate Review,review comments,PTO trips data inclusion,PTO trips data text info,annual ridership,Only aggregate data,Commuter Bus,Demand Response,Demand response- taxi,Bus,Rail,Other,Source,Year,Link,revenue link (if different source than data source),2017 fare revenue total----,Commuter Bus fare revenue,Demand Response fare revenue,Demand response- taxi fare revenue,Bus Rapid Transit Fare revenue,Bus fare revenue,Commuter rail fare revenue,Heavy rail fare revenue,Light Rail fare revenue,Other modes fare revenue,Other Description,STA1,STA2,Contacted,Trillium client,Agency Acronym,Administering entity,Admin Acronym,Reporter Status,Reporter Type,TypeCode,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,Associated Transit Organizations,Agency Notes,Service area density,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles,Operates Transit (Y/N),Potential for GTFS static (Y/N),Transit type,Free fare on fixed-route (Y/N),Fares based on route (Y/N),Fares based on zone (Y/N),Flat fares (Y/N),Reduced fare,Reduced fare categories,Category notes,Transfers Allowed (Y/N),Transfer Time,Transfer Fee (Y/N),Transfers notes,Interagency Transfers (Y/N/?),Interagency transfer notes,Pass times/trips,Pass notes,Reservations (Y/N),Group/school trip Discount (Y/N),Ticket/Pass Sales Methods,Payment Accepted,Ticket Media,Electronic fare program,Ticket validation,Bike fee,Cheaper base fare w/ smartcard (Y/N),Reg/Adult Ticket Price Min,Reg/Adult Ticket Price Max,Pass Price Min,Pass Price Max,Fare capping,GTFS,Real-time status,GTFS Service Alerts,# of fixed routes,GTFS fares (Y/N),GTFS+ Fares (Y/N),Operates Paratransit,Paratransit fare URL,Operates Demand Response,Demand Response fare URL,T_Company,T_Background,T_Tags,T_Phone,T_Email,T_URL,T_URL_Other,T_Created,T_Last_Updated,T_Added by,T_Live in Google Maps,T_NTD ID,T_Number of Routes,T_Trillium client,T-Farebox Ratio % - Year,T_OPEX,Source,County,OPM_ID (DRMT),Local Commission,Metropolitan Planning Organization,Regional Transportation Planning Authority,Caltrans District (int),Caltrans District (string),Combined Address,Street Address,City,Zip,Lat,Long
Calabasas Transit System,49,90257,,x,,1,,"115,049",,,"1,892",,"113,157",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90257.pdf,,"$34,406",,"$4,730",,,"$29,676",,,,,,,,Y,,CTS,"Calabasas, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,100 Civic Center Way,,,,,Rural,Calabasas,CA,91302,,9,https://www.cityofcalabasas.com/departments/traffic/shuttle.html,6071,804742310,13,"24,153",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,13,13,,,Y,Y,busfixedroute,,N,N,Y,N,,,N,,,,?,,"summer, annual",summer pass is Jun-Aug for routes 2 and 3. annual is Aug-Jun for routes 2-5,,,"cityhall, mail",check,"customcard, paper",,,,,0.00,1,75,123,,https://data.trilliumtransit.com/gtfs/calabasas-ca-us/calabasas-ca-us.zip,2,,5,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Carson Circuit,57,90258,,x,,1,,"331,209",,,,"50,441","280,768",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90258.pdf,,"$182,878",,,"$72,403",,"$110,475",,,,,,,,Y,,,"Carson, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,801 E. Carson Street,,,,,Mix,Carson,CA,90745,,9,http://ci.carson.ca.us/CommunityServices/Transportation.aspx,0,78806056,19,"91,714",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,15,15,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"senior, disabled","senior, disabled are free",Y,,N,,Y,,monthly,,,,"onboardbus, online, phone, mail, vendor",,TAPcard,TAPcard,,,N,1.00,1,30,30,,,4,,8,,,Y,http://ci.carson.ca.us/communityservices/dialaride.aspx,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Cerritos on Wheels,63,90259,,x,NTD data says that the bus service and the demand response service are not directly operated by the city. I don't know if you want to reflect this somewhere in the data,1,,"147,521",,,"16,283",,"131,238",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90259.pdf,,"$78,276",,"$19,803",,,"$58,473",,,,,,,,Y,,COW,"Cerritos, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,18125 Bloomfield Avenue,,,,"COW service is paid for with local Proposition A and C funds, which are earmarked specifically for transit programs. The COW is the second tier of the City of Cerritos' public transit program. The Cerritos Dial-A-Ride service is the first tier.",Rural,Cerritos,CA,90703,,9,http://www.cerritos.us/RESIDENTS/transportation.php,0,940944531,9,"50,004",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,16,16,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,N,,,,,,,,,"monthly, 3month",3month is just 3 monthly passes at a discount,,,"onboardbus, online, cityhall","cash, card",customcard,,magstrip,,,0.50,0.5,20,30,,In Google,2,,,,,Y,http://www.cerritos.us/RESIDENTS/transportation/dial_a_ride.php,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Compton Renaissance Transit Service,77,90260,,x,not sure if you want to tag this operator with demand response in the transit type field,1,,"97,150",,,"16,152",,"80,998",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90260.pdf,,"$54,227",,"$7,278",,,"$46,949",,,,,,,,Y,,CRT,"Compton, City of",,Active,Reduced Reporter,999,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,205 South Willowbrook Avenue,,,,,Urban,Compton,CA,90220,,9,http://www.comptoncity.org/visitors/cpttrans.asp,5566,76248335,10,"97,550",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",2,5,7,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"senior, disabled, student",,Y,,Y,,,,,,,,onboardbus,cash,TAPcard,TAPcard,,,,1.25,1.25,,,,https://data.trilliumtransit.com/gtfs/compton-ca-us/compton-ca-us.zip,4,,5,,,,,Y,"cannot find, referenced in NTD report",,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Covina Transit,85,90261,,x,,1,,"17,449",,,"17,449",,,,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90261.pdf,,"$4,575",,"$4,575",,,,,,,,,,,,,,"Covina, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,125 E. College Street,,,,,Rural,Covina,CA,91723,,9,https://covinaca.gov/publicworks/page/transportation,0,933584278,8,"48,508",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,4,4,,,Y,N,demandresponse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://covinaca.gov/publicworks/page/dial-ride,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Cudahy Area Rapid Transit,86,90262,,x,,5,no fare charged,"137,983",,,,"3,059","134,924",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90262.pdf,,$0,,,$0,,$0,,,,,,,,,,CART,,"Cudahy, City of",Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,5220 Santa Ana St.,,,,,Rural,Cudahy,CA,90201,,9,www.cityofcudahy.com,,91419028,1,"24,103",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,6,6,,,Y,Y,busfixedroute,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.trilliumtransit.com/gtfs/cudahy-ca-us/cudahy-ca-us.zip,4,,1,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
DowneyLINK,95,90263,,x,,1,,"184,663",,,"26,933",,"157,730",,,NTD,,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90263.pdf,,"$63,654",,"$12,075",,,"$51,579",,,,,,,,Y,,,"Downey, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,11111 Brookshire Ave.,,,,,Mix,Downey,CA,90241,,9,https://www.downeyca.org/our-city/departments/parks-recreation/transit/downeylink-transit-system,5566,44055523,13,"111,772",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",10,6,16,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,age0-5,age0-5 free,Y,,N,,Y,Bellflower Public Transit,,,,,onboardbus,cash,,,,,,0.50,0.5,,,,https://data.trilliumtransit.com/gtfs/downey-ca-us/downey-ca-us.zip,2,,4,,,Y,http://www.downeyca.org/visitors/transit.asp,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Duarte Transit,97,90264,,x,,1,,"189,436",,,,,"189,436",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90264.pdf,,$0,,,,,$0,,,,,,,,Y,Y,,"Duarte, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,1600 Huntington Drive,,,Foothill Transit,Partnership with Foothill Transit for operations and maintenance ,Rural,Duarte,CA,91010,,9,http://www.accessduarte.com/dept/admin/transit_division/default.htm,0,70650452,7,"21,724",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",2,,2,,,Y,Y,busfixedroute,,N,N,Y,Y,"age62over, age0-5, disabled, medicare, studentk-c",age0-5 free,N,,,,Y,"age65over, disabled, Medicare, age0-4","1day, 31day, ",,,,"onboardbus, online, phone, mail, vendor",cash,TAPcard,TAPcard,,,Y,1.25,1.5,5,50,,http://data.trilliumtransit.com/gtfs/duartetransit-ca-us/duartetransit-ca-us.zip,4,,,Y,N,N,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
El Monte Transportation Division,102,90265,,x,,1,,"595,224",,,"23,001",,"572,223",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90265.pdf,,"$201,624",,"$10,917",,,"$190,707",,,,,,,,Y,YY,,"El Monte, City of",,Active,Reduced Reporter,5,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,3990 Arden Drive,,,,,Urban,El Monte,CA,91731,,9,http://www.ci.el-monte.ca.us/Government/PublicWorks/Transportation.aspx,0,92519800,10,"201,889",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",3,10,13,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,age0-4,age0-4 free,N,,,,Y,These shuttles are Metrolink “free transfers” eligible with a valid Metrolink ticket or pass. ,,"Tokens sold in 5, 10, and 20 value packs",,,"onboardbus, station",cash,"paper, token",,farebox,,,0.50,0.5,,,,http://data.trilliumtransit.com/gtfs/elmonte-ca-us/elmonte-ca-us.zip,4,,,N,N,Y,http://www.ci.el-monte.ca.us/326/Transportation-Division,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Glendora Transportation Division,121,90266,,x,,1,,"48,590",,,"27,715",,"33,135",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90266.pdf,,"$34,846",,"$21,605",,,"$13,241",,,,,,,,Y,,GTD,"Glendora, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,116 E. Foothill Blvd.,,,,,Mix,Glendora,CA,91741,,9,www.cityofglendora.org/transportation,0,76191600,19,"51,290",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,12,12,,,Y,Y,"busfixedroute, paratransit",,N,N,Y,Y,"age55over, disabled, studentk-12",,,,,,,,"1day, 7day, 30day, EZTpass, annual",TAP passes,,,"onboardbus, cityhall, tcenter",cash,TAPcard,TAPcard,,,N,1.00,1,7,110,,https://data.trilliumtransit.com/gtfs/glendora-ca-us/glendora-ca-us.zip,4,,3,,,Y,http://www.cityofglendora.org/departments-services/transportation/dial-a-ride,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Huntington Park Express,137,90267,,x,,1,2016 NTD data (2017 was not available) ,"196,442",,,,"19,412","177,030",,,NTD,2016,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2016/90267.pdf,,"$98,119",,,"$33,345",,"$64,774",,,,,,,,Y,,,"Huntington Park, City of",,,,,,,,,,,,,,,,,Mix,Huntington Park,CA,,,,https://www.hpca.gov/232/HP-Express,,,,,,,,,,,,,,,,Y,Y,busfixedroute,,N,N,Y,Y,"age62over, disabled, medicare, age0-4, accesscard",reduced are free,,,,,,,,,,,onboardbus,,TAPcard,TAPcard,,,N,0.75,.75,,,,http://data.trilliumtransit.com/gtfs/huntingtonpark-ca-us/huntingtonpark-ca-us.zip,4,,1,,,,,,,Huntington Park Express,"Previous operator, Old Timers Foundation, disbanded the bus system with 30 days notice. Metro Transit Services (not to be confused with Metro), took over operations in 2016 under curious contracts.","socal, suspect-gtfs, Los Angeles",323-582-6161,,,,2015-09-28 04:55:29,2018-02-06 17:33:17,Thomas Craig,N,90267,1,N,,,NTD/Trillium contact,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
Inglewood,139,90268,,x,,1,,"57,423",,,"37,320","11,990","8,113",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90268.pdf,,"$36,430",,"$5,080","$31,350",,$0,,,,,,,,,,,"Inglewood, City of",,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,One Manchester Blvd.,,,,Senior/Paratransit only,Urban,Inglewood,CA,90301,,9,https://www.cityofinglewood.org/796/Transportation,5566,74118456,21,"220,857",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",9,5,14,,,Y,N,paratransit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,,,,,,
the Link-Athens,176,90269,,x,,1,76625 from ,"76,625",,,,,"76,625",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90269.pdf,,"$11,145",,,,,"$11,145",,,,,,Los Angeles County Metropolitan Transportation Authority,,O,,the Link,Los Angeles County Department of Public Works,LACDPW,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,900 South Fremont Avenue,"Transit Operations, 9th Floor",1460,,,Urban,Alhambra,CA,91802,,9,https://dpw.lacounty.gov/transit/TheLinkAthens.aspx,5566,99446254,25,"23,159",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,1,1,,,Y,Y,busfixedroute,,N,N,Y,Y,"age60over, disabled, age0-4","age60over, disabled, age0-4 are free. ",N,,,,Y,Metro 30-day and EZ passes as cash fare,"EZTpass, 30day",30day is Metro TAP pass,,,"onboardbus, online, phone, mail, vendor",cash,TAPcard,TAPcard,,,N,0.25,0.25,,,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,4,,,,,N,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719031,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"900 South Fremont Avenue, Alhambra, CA, 91803",900 South Fremont Avenue,Alhambra,91803,34.085024,-118.150055
Avocado Heights/Bassett/West Valinda Shuttle,171,90270,,x,,1,,"44,248",,,,,"44,248",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90270.pdf,,"$8,028",,,,,"$8,028",,,,,,Los Angeles County Metropolitan Transportation Authority,,O,,,Los Angeles County Department of Public Works,LACDPW,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,900 S. Fremont Ave.,,,,,Urban,Alhambra,CA,91803,,9,https://dpw.lacounty.gov/transit/AvoBasWVShuttle.aspx,5566,99446254,9,"15,500",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,1,1,,,Y,Y,busfixedroute,,N,N,Y,Y,"age60over, disabled, age0-4","age60over, disabled, age0-4 are free. ",N,,,,Y,Metro 30-day and EZ passes as cash fare,"EZTpass, 30day",30day is Metro TAP pass,,,"onboardbus, online, phone, mail, vendor",cash,TAPcard,TAPcard,,,N,0.25,0.25,,,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,4,,,,,N,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719031,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"900 South Fremont Avenue, Alhambra, CA, 91803",900 South Fremont Avenue,Alhambra,91803,34.085024,-118.150055
East Los Angeles Shuttle,172,90271,,x,,1,,"909,330",,,"17,523",,"891,807",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90271.pdf,,"$157,992",,"$7,149",,,"$150,843",,,,,,Los Angeles County Metropolitan Transportation Authority,,O,,El Sol,Los Angeles County Department of Public Works,LACDPW,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,900 S. Fremont Ave.,,,,,Urban,Alhambra,CA,91803,,9,https://dpw.lacounty.gov/transit/ElSolShuttle.aspx,5566,99446254,8,"126,496",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,13,13,,,Y,Y,"busfixedroute, demandresponse",,N,N,Y,Y,"age60over, disabled, age0-4","age60over, disabled, age0-4 are free. Metro 30day pass holders ride free.",N,,,,Y,Metro 30-day and EZ passes as cash fare,"EZTpass, 30day",30day is Metro TAP pass,,,"onboardbus, online, phone, mail, vendor",cash,TAPcard,TAPcard,,,N,0.25,0.25,100,110,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,4,,,,,N,,Y,https://dpw.lacounty.gov/transit/DAR.aspx#pageTitle,,,,,,,,,,,,,,,,,NTD,Los Angeles,719031,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"900 South Fremont Avenue, Alhambra, CA, 91803",900 South Fremont Avenue,Alhambra,91803,34.085024,-118.150055
East Valinda Shuttle,173,90272,,x,,1,shuttle ,"57,597",,,,,"57,597",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90272.pdf,,"$11,013",,,,,"$11,013",,,,,,Los Angeles County Metropolitan Transportation Authority,,O,,,Los Angeles County Department of Public Works,LACDPW,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,900 S. Fremont Ave.,,,,,Urban,Alhambra,CA,91803,,9,https://dpw.lacounty.gov/transit/EastValindaShuttle.aspx,5566,99446254,15,"22,822",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,1,1,,,Y,Y,busfixedroute,,N,N,Y,Y,"age60over, disabled, age0-4","age60over, disabled, age0-4 are free. ",N,,,,Y,Metro 30-day and EZ passes as cash fare,"EZTpass, 30day",30day is Metro TAP pass,,,"onboardbus, online, phone, mail, vendor",cash,TAPcard,TAPcard,,,N,0.25,0.25,,,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,4,,,,,N,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719031,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"900 South Fremont Avenue, Alhambra, CA, 91803",900 South Fremont Avenue,Alhambra,91803,34.085024,-118.150055
the Link Florence-Firestone/Walnut Park,177,90273,,x,,1,,"219,518",,,,,"219,518",,,NTD,2017,https://www.transit.dot.gov/sites/fta.dot.gov/files/transit_agency_profile_doc/2017/90273.pdf,,"$25,516",,,,,"$25,516",,,,,,Los Angeles County Metropolitan Transportation Authority,,O,,the Link,Los Angeles County Department of Public Works,LACDPW,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,900 S. Fremont Ave.,,,,,Urban,Alhambra,CA,91803,,9,https://dpw.lacounty.gov/transit/TheLinkFlorenceFirestone.aspx,5566,99446254,7,"63,387",2,"Los Angeles-Long Beach-Anaheim, CA",,"12,150,996","6,999","1,736",,2,2,,,Y,Y,busfixedroute,,N,N,Y,Y,"age60over, disabled, medicare, age0-5",reduced are free,N,,,,Y,w/ TAP. Connects to DASH and Metro,,,,,onboardbus,cash,TAPcard,TAPcard,,,N,0.25,0.25,,,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,4,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719031,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"900 South Fremont Avenue, Alhambra, CA, 91803",900 South Fremont Avenue,Alhambra,91803,34.085024,-118.150055
the Link King Medical Center,178,90274,,x,,5,no fare charged,,,,,,,,,,,,,,,,,,,,,,,,Los Angeles County Metropolitan Transportation Authority,,,,the Link,Los Angeles County Department of Public Works,LACDPW,Active,Reduced Reporter,,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2017,10/31/2017,900 South Fremont Avenue,"Transit Operations, 9th Floor",1460,,,Urban,Alhambra,CA,91802,,9,https://dpw.lacounty.gov/transit/TheLinkKingMedical.aspx,5566,99446254,49,"12,358",2,"Los Angeles, CA",,"11,402,946","5,800","1,966",,1,1,,,Y,Y,busfixedroute,Y,,,,,,,,,,,,,,,,,,,TAPcard,TAPcard,,,N,,,,,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,4,,,,,,,,,,,,,,,,,,,,,,,,,NTD,Los Angeles,719031,Los Angeles County Metropolitan Transportation Authority,Southern California Association of Governments,Southern California Association of Governments,7,07 - Los Angeles,"900 South Fremont Avenue, Alhambra, CA, 91803",900 South Fremont Avenue,Alhambra,91803,34.085024,-118.150055
